paperId,authorId,name,affiliations
808e9ce4e86e79098edea7f00b5b91663b87a5e6,1410648718,Maria Ryskina,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,1397300094,Rita Frieske,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,2070989574,Ryan Cotterell,
808e9ce4e86e79098edea7f00b5b91663b87a5e6,2111472502,Zhijing Jin,
be7cb8f79bc018e57467168fc0c7f8ad59bba04f,78846919,Marco Tulio Ribeiro,
be7cb8f79bc018e57467168fc0c7f8ad59bba04f,23451726,Scott M. Lundberg,
08aaaf7ae3d61875e7bcf5c1bb0df4f17066e300,2007064152,Yingqi Liu,
08aaaf7ae3d61875e7bcf5c1bb0df4f17066e300,2052467415,Guangyu Shen,
08aaaf7ae3d61875e7bcf5c1bb0df4f17066e300,48927894,Guanhong Tao,
08aaaf7ae3d61875e7bcf5c1bb0df4f17066e300,2072528961,Shengwei An,
08aaaf7ae3d61875e7bcf5c1bb0df4f17066e300,2026855,Shiqing Ma,
08aaaf7ae3d61875e7bcf5c1bb0df4f17066e300,1771551,X. Zhang,
18a1c21f35153c45d0ef30c564bffb7d70a13ccc,145217343,Eric Wallace,
18a1c21f35153c45d0ef30c564bffb7d70a13ccc,2113511266,Shi Feng,
18a1c21f35153c45d0ef30c564bffb7d70a13ccc,1380266797,Nikhil Kandpal,
18a1c21f35153c45d0ef30c564bffb7d70a13ccc,40642935,Matt Gardner,
18a1c21f35153c45d0ef30c564bffb7d70a13ccc,34650964,Sameer Singh,
011095a0082e5e301f9bf30267b193c1c9e7e370,2149798086,Rebecca Qian,
011095a0082e5e301f9bf30267b193c1c9e7e370,51519704,Candace Ross,
011095a0082e5e301f9bf30267b193c1c9e7e370,2166312768,Jude Fernandes,
011095a0082e5e301f9bf30267b193c1c9e7e370,51324296,Eric Michael Smith,
011095a0082e5e301f9bf30267b193c1c9e7e370,2111313627,Douwe Kiela,
011095a0082e5e301f9bf30267b193c1c9e7e370,2110032535,Adina Williams,
d235a9085e0543fcbe502fbc269f9a8ee01dcbab,2109404730,Yulong Chen,
d235a9085e0543fcbe502fbc269f9a8ee01dcbab,39798499,Yang Liu,
d235a9085e0543fcbe502fbc269f9a8ee01dcbab,2152290059,Li Dong,
d235a9085e0543fcbe502fbc269f9a8ee01dcbab,2992833,Shuohang Wang,
d235a9085e0543fcbe502fbc269f9a8ee01dcbab,8652308,Chenguang Zhu,
d235a9085e0543fcbe502fbc269f9a8ee01dcbab,48262024,Michael Zeng,
d235a9085e0543fcbe502fbc269f9a8ee01dcbab,2145913600,Yue Zhang,
b651d67502790e1d6d41c589e1d93e996ba7b935,1416319999,C. Carrino,
b651d67502790e1d6d41c589e1d93e996ba7b935,2165226605,Joan Llop,
b651d67502790e1d6d41c589e1d93e996ba7b935,1850527789,Marc Pàmies,
b651d67502790e1d6d41c589e1d93e996ba7b935,2078772072,Asier Gutiérrez-Fandiño,
b651d67502790e1d6d41c589e1d93e996ba7b935,1405319696,Jordi Armengol-Estap'e,
b651d67502790e1d6d41c589e1d93e996ba7b935,2119543279,Joaquín Silveira-Ocampo,
b651d67502790e1d6d41c589e1d93e996ba7b935,2168853963,A. Valencia,
b651d67502790e1d6d41c589e1d93e996ba7b935,1403836100,Aitor Gonzalez-Agirre,
b651d67502790e1d6d41c589e1d93e996ba7b935,2066499928,Marta Villegas,
950850e22e42201f152d90dc6f53d53e39d37657,145874489,Hamed Jelodar,
950850e22e42201f152d90dc6f53d53e39d37657,2107962574,Yongli Wang,
950850e22e42201f152d90dc6f53d53e39d37657,2181308,Rita Orji,
950850e22e42201f152d90dc6f53d53e39d37657,50178505,Shucheng Huang,
09797949fc70fbad8f3fed4f6cf4a91a9c709652,39819114,Siddharth Nath,
09797949fc70fbad8f3fed4f6cf4a91a9c709652,2164300110,Abdullah Marie,
09797949fc70fbad8f3fed4f6cf4a91a9c709652,2090354013,S. Ellershaw,
09797949fc70fbad8f3fed4f6cf4a91a9c709652,65739018,Edward Korot,
09797949fc70fbad8f3fed4f6cf4a91a9c709652,5638585,P. Keane,
e57aeb158a38ccf33d2f0f5a8f63f1209497e329,38614754,Julian Michael,
e57aeb158a38ccf33d2f0f5a8f63f1209497e329,14487640,Ari Holtzman,
e57aeb158a38ccf33d2f0f5a8f63f1209497e329,119389860,Alicia Parrish,
e57aeb158a38ccf33d2f0f5a8f63f1209497e329,49355602,Aaron Mueller,
e57aeb158a38ccf33d2f0f5a8f63f1209497e329,144906624,Alex Wang,
e57aeb158a38ccf33d2f0f5a8f63f1209497e329,13336152,Angelica Chen,
e57aeb158a38ccf33d2f0f5a8f63f1209497e329,93811144,Divyam Madaan,
e57aeb158a38ccf33d2f0f5a8f63f1209497e329,10666396,Nikita Nangia,
e57aeb158a38ccf33d2f0f5a8f63f1209497e329,46230016,Richard Yuanzhe Pang,
e57aeb158a38ccf33d2f0f5a8f63f1209497e329,80842917,Jason Phang,
e57aeb158a38ccf33d2f0f5a8f63f1209497e329,1799822,Sam Bowman,
7fa273f450251523e6b7fcc2eb3fdbdfd4a30493,1557391091,Qinyuan Ye,
7fa273f450251523e6b7fcc2eb3fdbdfd4a30493,51583409,Bill Yuchen Lin,
7fa273f450251523e6b7fcc2eb3fdbdfd4a30493,145201124,Xiang Ren,
185e7d2a761594451b02ace240356dadad2aef78,2845020,Xiaoya Li,
185e7d2a761594451b02ace240356dadad2aef78,2109329406,Xiaofei Sun,
185e7d2a761594451b02ace240356dadad2aef78,65844131,Yuxian Meng,
185e7d2a761594451b02ace240356dadad2aef78,2115780454,Junjun Liang,
185e7d2a761594451b02ace240356dadad2aef78,144894837,Fei Wu,
185e7d2a761594451b02ace240356dadad2aef78,49298465,Jiwei Li,
7e9905710a5991a017ffc0473dd612cfce4b7b2e,80621550,Shaily Bhatt,
7e9905710a5991a017ffc0473dd612cfce4b7b2e,50991767,Sunipa Dev,
7e9905710a5991a017ffc0473dd612cfce4b7b2e,2406435,Partha P. Talukdar,
7e9905710a5991a017ffc0473dd612cfce4b7b2e,2160404,Shachi Dave,
7e9905710a5991a017ffc0473dd612cfce4b7b2e,3331141,Vinodkumar Prabhakaran,
b2563d102456d5140ecb4111e7f08481f720d9a4,51236664,Hannah Devinney,
b2563d102456d5140ecb4111e7f08481f720d9a4,52604880,Jenny Björklund,
b2563d102456d5140ecb4111e7f08481f720d9a4,2077434671,H. Björklund,
d6f002d88638de71114dab083f0ea8ceea6b6a5a,9051130,John P. Lalor,
d6f002d88638de71114dab083f0ea8ceea6b6a5a,2143685866,Yi Yang,
d6f002d88638de71114dab083f0ea8ceea6b6a5a,2152595932,Kendall Smith,
d6f002d88638de71114dab083f0ea8ceea6b6a5a,3047212,Nicole Forsgren,
d6f002d88638de71114dab083f0ea8ceea6b6a5a,144849629,A. Abbasi,
eadb1e7da375939e25083ae3936c4f4ef1f2a719,152446182,Andreas Madsen,
eadb1e7da375939e25083ae3936c4f4ef1f2a719,145732771,Siva Reddy,
eadb1e7da375939e25083ae3936c4f4ef1f2a719,144631588,A. Chandar,
97f456643712e9618edd7465676c62af3c8ae690,144508458,Da Yin,
97f456643712e9618edd7465676c62af3c8ae690,145307652,Li Dong,
97f456643712e9618edd7465676c62af3c8ae690,47413820,Hao Cheng,
97f456643712e9618edd7465676c62af3c8ae690,46522098,Xiaodong Liu,
97f456643712e9618edd7465676c62af3c8ae690,2782886,Kai-Wei Chang,
97f456643712e9618edd7465676c62af3c8ae690,49807919,Furu Wei,
97f456643712e9618edd7465676c62af3c8ae690,48441311,Jianfeng Gao,
285d13bf3cbe6a8a0f164f584d84f8b74067271f,1904906987,Qing Lyu,
285d13bf3cbe6a8a0f164f584d84f8b74067271f,2817917,Marianna Apidianaki,
285d13bf3cbe6a8a0f164f584d84f8b74067271f,1763608,Chris Callison-Burch,
152877c51df17cdd4a87d19e452c6daecfadf6c3,48578729,Venkatesh Shankar,
